AlarmID,AlarmText,Enable
0,0x0000 0x00 : EQP Off-line,1
1,0x0001 0x00 : EQP EMS alarm,1
2,0x0002 0x00 : L_REQ ON,1
3,0x0003 0x00 : U_REQ ON,1
4,0x0004 0x00 : VA ON,1
5,0x0005 0x00 : READY ON,1
6,0x0006 0x00 : VS_0 ON,1
7,0x0007 0x00 : VS_1 ON,1
8,0x0008 0x00 : HO_AVBL OFF,1
10,0x000A 0x00 : GO OFF,1
19,0x0013 0x00 : EQP error,1
20,0x0014 0x00 : EQP L_REQ OFF,1
21,0x0015 0x00 : EQP U_REQ ON,1
22,0x0016 0x00 : EQP VA ON,1
23,0x0017 0x00 : EQP READY ON,1
24,0x0018 0x00 : EQP VS_0 ON,1
25,0x0019 0x00 : EQP VS_1 ON,1
26,0x001A 0x00 : EQP HO_AVBL OFF,1
36,0x0024 0x00 : EQP GO OFF,1
37,0x0025 0x00 : EQP L_REQ OFF,1
38,0x0026 0x00 : EQP U_REQ ON,1
39,0x0027 0x00 : EQP VA ON,1
40,0x0028 0x00 : EQP READY OFF,1
41,0x0029 0x00 : EQP VS_0 ON,1
42,0x002A 0x00 : EQP VS_1 ON,1
43,0x002B 0x00 : EQP HO_AVBL OFF,1
44,0x002C 0x00 : EQP ES OFF,1
11,0x000B 0x00 : LVALID_ERR1,1
12,0x000C 0x00 : LVALID_ERR2,1
13,0x000D 0x00 : LVALID_ERR3,1
14,0x000E 0x00 : LVALID_ERR4,1
15,0x000F 0x00 : LVALID_ERR5,1
16,0x0010 0x00 : LVALID_ERR6,1
17,0x0011 0x00 : LVALID_ERR7,1
46,0x002E 0x00 : BUSY_ON_ERR1,1
47,0x002F 0x00 : BUSY_ON_ERR2,1
48,0x0030 0x00 : BUSY_ON_ERR3,1
49,0x0031 0x00 : BUSY_ON_ERR4,1
50,0x0032 0x00 : BUSY_ON_ERR5,1
51,0x0033 0x00 : BUSY_ON_ERR6,1
52,0x0034 0x00 : BUSY_ON_ERR7,1
63,0x003F 0x00 : AMR_BACK_ERR1,1
64,0x0040 0x00 : AMR_BACK_ERR2,1
65,0x0041 0x00 : AMR_BACK_ERR3,1
66,0x0042 0x00 : AMR_BACK_ERR4,1
67,0x0043 0x00 : AMR_BACK_ERR5,1
68,0x0044 0x00 : AMR_BACK_ERR6,1
69,0x0045 0x00 : AMR_BACK_ERR7,1
55,0x0037 0x00 : LARM_POP_ERR1,1
56,0x0038 0x00 : LARM_POP_ERR2,1
57,0x0039 0x00 : LARM_POP_ERR3,1
58,0x003A 0x00 : LARM_POP_ERR4,1
59,0x003B 0x00 : LARM_POP_ERR5,1
60,0x003C 0x00 : LARM_POP_ERR6,1
4141,0x102D 0x00 : UBUSY_ON_ERR1,1
4142,0x102E 0x00 : UBUSY_ON_ERR2,1
4143,0x102F 0x00 : UBUSY_ON_ERR3,1
4144,0x1030 0x00 : UBUSY_ON_ERR4,1
4145,0x1031 0x00 : UBUSY_ON_ERR5,1
4146,0x1032 0x00 : UBUSY_ON_ERR6,1
4147,0x1033 0x00 : UBUSY_ON_ERR7,1
4096,0x1000 0x00 : UEQ_OFFLINE,1
4107,0x100B 0x00 : UVALID_ERR1,1
4108,0x100C 0x00 : UVALID_ERR2,1
4109,0x100D 0x00 : UVALID_ERR3,1
4110,0x100E 0x00 : UVALID_ERR4,1
4111,0x100F 0x00 : UVALID_ERR5,1
4112,0x1010 0x00 : UVALID_ERR6,1
4150,0x1036 0x00 : UARM_POP_ERR1,1
4151,0x1037 0x00 : UARM_POP_ERR2,1
4152,0x1038 0x00 : UARM_POP_ERR3,1
4153,0x1039 0x00 : UARM_POP_ERR4,1
4154,0x103A 0x00 : UARM_POP_ERR5,1
4155,0x103B 0x00 : UARM_POP_ERR6,1
16400,0x4010 0x00 : TD0 timeout,1
16384,0x4000 0x00 : TA1 timeout,1
16385,0x4001 0x00 : TA2 timeout,1
16386,0x4002 0x00 : TA3 timeout,1
16387,0x4003 0x00 : TA4 timeout,1
20480,0x5000 0x00 : TP1 timeout,1
20481,0x5001 0x00 : TP2 timeout,1
20482,0x5002 0x00 : TP3 timeout,1
20483,0x5003 0x00 : TP4 timeout,1
20484,0x5004 0x00 : TP5 timeout,1
20485,0x5005 0x00 : TP6 timeout,1
