AlarmID,AlarmText,Enable
0,"0x0000 0x05 : Unload, CS0, Ready->GO ON : ES OFF",1
1,"0x0001 0x00 : Unload, CS0, Ready->GO ON : Clamp ON",0
2,"0x0002 0x00 : Unload, CS0, Ready->GO ON : EQ ERROR",0
3,"0x0003 0x00 : Unload, CS0, Ready->GO ON : Light Curtain ERROR",0
4,"0x0004 0x00 : Unload, CS0, Ready->GO ON : PS OFF",0
5,"0x0005 0x00 : Unload, CS0, Ready->GO ON : PL OFF",0
6,"0x0006 0x00 : Unload, CS0, Ready->GO ON : PS PL not set",0
7,"0x0007 0x00 : Unload, CS0, GO ON->CS_0 ON : AM_AVBL OFF",0
8,"0x0008 0x00 : Unload, CS0, GO ON->CS_0 ON : TR_REQ OFF",0
9,"0x0009 0x00 : Unload, CS0, GO ON->CS_0 ON : BUSY OFF",0
10,"0x000A 0x00 : Unload, CS0, GO ON->CS_0 ON : COMPT OFF",0
11,"0x000B 0x00 : Unload, CS0, GO ON->CS_0 ON : CONT OFF",0
12,"0x000C 0x05 : Unload, CS0, GO ON->CS_0 ON : ES OFF",1
13,"0x000D 0x00 : Unload, CS0, GO ON->CS_0 ON : Clamp ON",0
14,"0x000E 0x00 : Unload, CS0, GO ON->CS_0 ON : EQ_ER ON",0
15,"0x000F 0x00 : Unload, CS0, GO ON->CS_0 ON : Light Curtain ON",0
16,"0x0010 0x00 : Unload, CS0, GO ON->CS_0 ON : PS OFF",0
17,"0x0011 0x00 : Unload, CS0, GO ON->CS_0 ON : PL OFF",0
18,"0x0012 0x00 : Unload, CS0, GO ON->CS_0 ON : VALID OFF",0
19,0x0013 0x00 : Reserved : Reserved,0
20,"0x0014 0x00 : Unload, CS0, CS_0 ON->VALID ON : OHT PIO Off-line",0
21,"0x0015 0x00 : Unload, CS0, CS_0 ON->VALID ON : CS_0 OFF",0
22,"0x0016 0x00 : Unload, CS0, CS_0 ON->VALID ON : Signal Error",0
23,"0x0017 0x00 : Unload, CS0, CS_0 ON->VALID ON : AM_AVBL OFF",0
